,log_revenue
1957,18.32679060241628
3898,17.761970013037892
3321,17.44545207170206
272,20.168977307438567
1067,18.55307851552127
999,19.330488997894644
2423,16.706786962100164
3245,16.50352395635338
2200,18.996403593888584
2541,17.84726990787617
533,19.05233888231721
2885,17.6559558827341
576,18.168525905482863
2205,16.860470090623977
97,20.114339922634635
3443,10.879687356164176
3445,11.593112777572584
3650,17.761970013037892
2145,17.772391874615497
1133,17.840308541860654
1432,18.38266535929875
1747,17.835623766062437
3594,2.4849066497880004
248,18.04525977174862
14,20.18742017795144
1645,15.77614590010904
2424,16.479158055898278
2528,17.761970013037892
503,18.908948838963468
2126,18.967964032551535
3730,15.367398168015434
1869,17.025122283268747
3289,17.761970013037892
152,20.29774330994545
566,19.728701763646637
2939,16.5120333733157
1366,17.340865989408183
276,19.750168072137864
2796,17.364931402443023
1521,15.851511967248332
460,19.589711759536705
894,18.064005814299342
3885,17.761970013037892
667,18.871594299225492
163,19.43200924034735
2659,17.981333706389798
870,18.318199822724445
2652,13.39783217046521
2383,17.761970013037892
3291,16.281273633233095
3143,15.503670552583664
1656,18.70510753120793
3812,17.761970013037892
2685,16.231694567606688
1263,18.296516632466865
3522,8.882252884889363
984,18.845494938614156
584,19.721621498675873
1297,17.408671336350785
1552,17.278517553180393
2000,18.594637504851352
2626,17.117461362365535
1803,16.865150687458982
25,20.42889477768611
2838,16.91467588581532
1010,18.26300768950765
209,20.839934471443975
1064,18.894321619141916
2850,17.761970013037892
3683,16.536806051605975
1607,17.942999960628313
1892,16.908563625047098
284,20.024924898144217
2647,17.363461816143673
301,20.43399177528534
3357,17.761970013037892
2722,17.761970013037892
1001,19.37301711144392
3087,12.875592895458963
310,19.152784545103913
1294,17.578151100860566
819,18.54307761724923
3747,14.331745723738806
2859,17.043316113842838
2376,17.761970013037892
3840,17.761970013037892
3632,15.211206336935916
3505,17.03676918171107
1780,14.156419366999064
2747,17.634420715684733
2449,17.051608900192058
3179,12.851659030936837
2303,18.290048516113917
3784,17.761970013037892
1188,15.594361232731508
280,18.087512525048243
2271,17.761970013037892
468,19.939666418053665
3240,16.118095750958314
1854,17.472599919358508
28,20.865897133567135
1433,18.23661566009807
1377,17.789416442682565
121,20.644566249133433
2661,17.093692903393823
3558,17.761970013037892
3754,16.52356082573315
2807,17.761970013037892
3789,16.031666031987402
3903,17.761970013037892
2399,16.317440567964468
841,18.568429627367117
3126,17.007316271229797
22,20.826328627454465
1589,17.761970013037892
3409,15.059253828147932
705,17.58892955535246
6,19.86846579644804
3588,15.981129910564055
3031,17.761970013037892
2489,16.52409341717896
3128,16.17083268265543
2353,17.561369433511086
1700,20.134456109294018
3336,16.454567959008102
941,17.57608245311281
3370,16.82400978601961
61,20.22735602727465
32,20.30016293085726
3456,17.761970013037892
3300,17.44781024255605
622,18.354722655706016
1859,17.104970318571805
232,19.57756238728523
3161,15.733689880155415
3391,16.119437250610915
2893,17.761970013037892
2587,16.804750199927184
3589,17.761970013037892
3772,14.721347236138207
624,18.99753993197182
805,19.579142213468103
3794,17.761970013037892
1480,18.642441876165456
3674,17.761970013037892
3380,17.761970013037892
1585,17.536283974060265
2923,16.6951342057549
1502,19.685507971453088
751,19.40293060991551
2864,16.46480113456092
2178,17.482753624470845
2835,17.220964334976603
3864,17.761970013037892
250,20.639708950690668
3843,16.01455325928874
2276,16.790968131813436
1931,17.723525562075203
2739,17.761970013037892
2598,17.761970013037892
2936,17.761970013037892
2125,17.761970013037892
3526,17.761970013037892
3194,17.761970013037892
2186,18.575117105825765
505,19.30852453927317
265,18.241050039565614
652,19.75964728253492
3048,17.761970013037892
2232,16.66147061056811
2428,17.637828962930126
2663,17.455866457365318
375,19.22182815754855
3576,14.924667720181958
2219,17.490859866075887
664,19.78442575112384
1910,14.418024902870975
1611,18.718917088610393
2116,18.36871106297223
1110,19.117842530188177
2014,17.564717907522787
1623,18.861927015713892
3022,16.061620321410224
3272,16.933168828800678
869,18.398814807296677
2585,17.761970013037892
1525,17.51798322925938
168,19.665512103090222
3511,17.761970013037892
543,18.97788649866075
1669,17.761970013037892
2867,16.22523468411587
2461,15.560914347259937
2770,16.33309645994643
1740,18.596388729214706
2924,17.538791462950133
1706,17.505775052466788
2411,15.301102819170872
3015,17.761970013037892
3288,17.761970013037892
2170,10.411689738095404
207,18.633585569951723
1149,17.97940453455238
1504,18.600952526393517
3054,15.553304745170516
1865,18.04509718211479
3190,17.761970013037892
2494,15.940592785600137
1776,18.76427045543464
532,19.346037962739334
2467,17.742422195590603
104,20.105194974399108
2100,18.195258849183674
2097,17.17696681908471
810,18.404653612892243
2354,18.429252094746452
462,19.035463528934805
1406,18.448546823084033
2744,16.978873715185514
2827,17.394628213859313
2817,18.656120537662822
2522,15.594929360093731
3428,17.761970013037892
1296,18.50000723520414
3830,17.761970013037892
3230,17.761970013037892
2416,17.41101230384733
216,20.093432688142816
3738,17.761970013037892
2284,12.83192551123875
2061,18.523270517647394
1175,17.534072593066618
1617,18.909053240308054
497,17.78933697251896
1018,18.774151020425187
2669,16.38055667997474
1194,16.062078902817067
889,19.865736460320463
3055,16.716789229746205
1376,18.04812072621718
3069,16.532473852504896
775,18.91336276959192
2711,17.48775689557179
177,18.095755363059983
3427,14.521198276249768
159,19.951038976519428
2049,16.48490682926117
2805,9.607168286688683
494,19.923025409305108
571,18.4319575214188
1465,19.150717682715072
3845,15.74587202172571
875,18.72322815030183
2551,17.34873012313425
838,15.4982457711897
823,15.487267467714272
